16-2-22 下午2:10
项目统计

     	   片段	    词汇	字符（无空白）	字符（含空白）	#Files	
总共：  	31442	484158	3216212	3820072	   323	
剩余：  	    0	     0	      0	      0	     0	
独特：  	 3469	 92928	 634841	 738820	   202	
剩余独特：	    0	     0	      0	      0	     0	


单文件统计：

文件名                                    	总片段	剩余片段	独特片段	剩余独特片段	总计词汇	剩余词汇	独特词汇	剩余独特词汇	总字符（无空白）	剩余字符（无空白）	独特字符（无空白）	剩余独特字符（无空白）	总字符（含空白）	剩余字符（含空白）	独特字符（含空白）	剩余独特字符（含空白）	
3.7/en/annotations.xml                 	145	   0	 114	     0	1620	   0	1532	     0	   10490	        0	     9819	          0	   12411	        0	    11680	          0	
3.7/en/assertions.xml                  	184	   0	 183	     0	 561	   0	 560	     0	    8477	        0	     8467	          0	    8986	        0	     8976	          0	
3.7/en/automating-tests.xml            	 22	   0	  21	     0	 612	   0	 611	     0	    3139	        0	     3129	          0	    3731	        0	     3721	          0	
3.7/en/behaviour-driven-development.xml	 44	   0	  41	     0	1169	   0	1167	     0	    6803	        0	     6770	          0	    9110	        0	     9076	          0	
3.7/en/bibliography.xml                	 27	   0	  24	     0	  55	   0	  52	     0	     367	        0	      342	          0	     392	        0	      367	          0	
3.7/en/book.xml                        	 18	   0	  16	     0	  36	   0	  34	     0	     195	        0	      187	          0	     214	        0	      206	          0	
3.7/en/code-coverage-analysis.xml      	 58	   0	  48	     0	1151	   0	1139	     0	    7289	        0	     7149	          0	    8839	        0	     8697	          0	
3.7/en/configuration.xml               	 92	   0	  83	     0	1096	   0	1063	     0	    7854	        0	     7611	          0	    9153	        0	     8886	          0	
3.7/en/database.xml                    	231	   0	 228	     0	5398	   0	5392	     0	   33489	        0	    33396	          0	   39997	        0	    39904	          0	
3.7/en/extending-phpunit.xml           	 35	   0	  34	     0	 815	   0	 814	     0	    6388	        0	     6358	          0	    7983	        0	     7953	          0	
3.7/en/fixtures.xml                    	 70	   0	  58	     0	1361	   0	1345	     0	    8470	        0	     8305	          0	   10039	        0	     9870	          0	
3.7/en/goals.xml                       	 27	   0	  27	     0	 750	   0	 750	     0	    3575	        0	     3575	          0	    4298	        0	     4298	          0	
3.7/en/incomplete-and-skipped-tests.xml	 64	   0	  61	     0	 741	   0	 738	     0	    4450	        0	     4430	          0	    5269	        0	     5249	          0	
3.7/en/index.xml                       	  1	   0	   1	     0	   1	   0	   1	     0	       5	        0	        5	          0	       5	        0	        5	          0	
3.7/en/installation.xml                	 76	   0	  73	     0	1439	   0	1394	     0	    8061	        0	     7804	          0	    9454	        0	     9155	          0	
3.7/en/logging.xml                     	 28	   0	  26	     0	 822	   0	 820	     0	    5578	        0	     5564	          0	    6780	        0	     6766	          0	
3.7/en/organizing-tests.xml            	 25	   0	  22	     0	 463	   0	 447	     0	    2636	        0	     2547	          0	    3174	        0	     3072	          0	
3.7/en/other-uses-for-tests.xml        	 19	   0	  16	     0	 576	   0	 571	     0	    3032	        0	     2989	          0	    3590	        0	     3545	          0	
3.7/en/selenium.xml                    	103	   0	  91	     0	1525	   0	1496	     0	   10520	        0	    10269	          0	   12218	        0	    11952	          0	
3.7/en/skeleton-generator.xml          	 62	   0	  57	     0	 791	   0	 774	     0	    4954	        0	     4852	          0	    5895	        0	     5781	          0	
3.7/en/test-doubles.xml                	177	   0	 144	     0	3481	   0	3446	     0	   22745	        0	    22461	          0	   28346	        0	    28061	          0	
3.7/en/test-driven-development.xml     	 39	   0	  32	     0	1079	   0	1059	     0	    6751	        0	     6529	          0	    8205	        0	     7979	          0	
3.7/en/testing-practices.xml           	 28	   0	  28	     0	 510	   0	 510	     0	    2620	        0	     2620	          0	    3100	        0	     3100	          0	
3.7/en/textui.xml                      	168	   0	 139	     0	1647	   0	1558	     0	    9798	        0	     9175	          0	   11776	        0	    11096	          0	
3.7/en/writing-tests-for-phpunit.xml   	686	   0	 514	     0	9068	   0	8752	     0	   66822	        0	    62719	          0	   77196	        0	    72941	          0	
4.0/en/annotations.xml                 	162	   0	  17	     0	1855	   0	 261	     0	   12203	        0	     1848	          0	   14624	        0	     2375	          0	
4.0/en/assertions.xml                  	535	   0	  48	     0	6425	   0	2105	     0	   48949	        0	    14719	          0	   55648	        0	    16153	          0	
4.0/en/bibliography.xml                	 22	   0	   1	     0	  41	   0	   1	     0	     264	        0	        8	          0	     279	        0	        8	          0	
4.0/en/book.xml                        	 18	   0	   1	     0	  36	   0	   6	     0	     195	        0	       31	          0	     214	        0	       37	          0	
4.0/en/code-coverage-analysis.xml      	 67	   0	  41	     0	1204	   0	 916	     0	    7518	        0	     5857	          0	    9078	        0	     7158	          0	
4.0/en/configuration.xml               	 91	   0	   4	     0	1072	   0	 155	     0	    7738	        0	     1639	          0	    9017	        0	     1943	          0	
